Id,source,latitude,longitude,region,country,admin1,localityName,localityQuality,observationDate,reportingDate,status,disease,serotypes,speciesDescription,sumAtRisk,sumCases,sumDeaths,sumDestroyed,sumSlaughtered,humansGenderDesc,humansAge,humansAffected,humansDeaths
250626,National authorities,42.05,24.91,Europe,Bulgaria,Plovdiv,Asenovgrad ,Exact,,08/04/2019,Confirmed,Influenza - Avian,H5 HPAI,"domestic, chicken",168752,,,,,,0,,
250532,National authorities,42.232698,24.793676,Europe,Bulgaria,Plovdiv,Plovdiv,Centroid Admin1,03/04/2019,05/04/2019,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, chicken",37,,,,,,0,,
250531,National authorities,42.05,24.91,Europe,Bulgaria,Plovdiv,Asenovgrad ,Exact,03/04/2019,05/04/2019,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, chicken",34998,298,298,34700,,,0,,
250447,National authorities,40.101957,103.294553,Asia,China,Nei Mongol Zizhiqu,Alxa,Centroid Admin2,,05/04/2019,Confirmed,Influenza - Avian,H7N9 LPAI,,,,,,,Male,82,1,0
250293,OIE,20.443063,85.401419,Asia,India,Orissa,Govt. Duck Breeding Farm,Exact,23/03/2019,04/04/2019,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck",924,235,235,689,,,,,
250235,OIE,27.643333,85.401388,Asia,Nepal,Central,Suryabinayak municipality-1,Exact,29/03/2019,04/04/2019,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",3200,215,215,2985,,,,,
250205,OIE,19.650621,-98.880518,Americas,Mexico,Mexico,Acolman,Exact,06/03/2019,01/04/2019,Confirmed,Influenza - Avian,H7N3 HPAI,"domestic, chicken",150,150,150,,,,,,
250202,OIE,43.0747,24.0764,Europe,Bulgaria,Lovech,Lovech,Exact,02/04/2019,03/04/2019,Confirmed,Influenza - Avian,H5 HPAI,"domestic, unspecified bird",1400,20,0,1400,,,0,,
250141,"National Institute for Communicable Diseases, NICD",32.593353,120.046884,Asia,China,Jiangsu Sheng,Taizhou,Centroid Admin2,15/03/2019,04/04/2019,Confirmed,Influenza - Avian,H9N2 LPAI,,,,,,,Male,9,1,
250118,National authorities,42.13527,122.79055,Asia,China,Liaoning Sheng,Xinmin City,Exact,,31/03/2019,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, unspecified bird",25472,1000,1000,24472,,,0,,
250058,OIE,25.117318,121.474572,Asia,Taiwan (Province of China),Taiwan Sheng,Beitou District,Exact,22/03/2019,29/03/2019,Confirmed,Influenza - Avian,H5N2 HPAI,"domestic, chicken",3,3,3,,,,,,
250057,OIE,25.117318,121.474572,Asia,Taiwan (Province of China),Taiwan Sheng,Beitou District,Exact,20/03/2019,29/03/2019,Confirmed,Influenza - Avian,H5N2 HPAI,"domestic, chicken",5,5,5,,,,,,
250056,OIE,25.03067,121.48937,Asia,Taiwan (Province of China),Taiwan Sheng,Wanhua District,Exact,20/03/2019,29/03/2019,Confirmed,Influenza - Avian,H5N2 HPAI,"domestic, chicken",61,,,61,,,,,
