Id,source,latitude,longitude,region,country,admin1,localityName,localityQuality,observationDate,reportingDate,status,disease,serotypes,speciesDescription,sumAtRisk,sumCases,sumDeaths,sumDestroyed,sumSlaughtered,humansGenderDesc,humansAge,humansAffected,humansDeaths
250579,OIE,30.27361,94.81111,Asia,China,Xizang Zizhiqu,"Gongzhong Village,Yigong Township",Exact,21/03/2019,08/04/2019,Confirmed,African swine fever,,"domestic, swine",79,21,21,58,,,0,,
250578,OIE,29.97398,93.69989,Asia,China,Xizang Zizhiqu,"Xueka Village,Bahe Township",Exact,07/03/2019,08/04/2019,Confirmed,African swine fever,,"domestic, swine",7,2,2,5,,,0,,
250577,OIE,29.39055,94.42,Asia,China,Xizang Zizhiqu,"Zhongshaba Village,Bujiu Township",Exact,02/03/2019,08/04/2019,Confirmed,African swine fever,,"domestic, swine",5664,240,32,5632,,,0,,
250572,National authorities,37.87916,77.39894,Asia,China,Xinjiang Uygur Zizhiqu,"11th Village,Yitimukong Township, Yecheng",Exact,04/04/2019,08/04/2019,Confirmed,African swine fever,,"domestic, swine",341,39,39,302,,,0,,
250452,OIE,48.0559,26.3046,Europe,Romania,Botosani,Ibanesti,Exact,01/04/2019,05/04/2019,Confirmed,African swine fever,,"wild, wild boar",,1,1,0,,,0,,
250451,OIE,47.7868,24.0901,Europe,Romania,Maramures," Izvorul Runcului ",Exact,01/04/2019,05/04/2019,Confirmed,African swine fever,,"wild, wild boar",,1,0,1,,,0,,
250450,OIE,48.0504,26.3062,Europe,Romania,Botosani,Ibanesti,Exact,27/03/2019,05/04/2019,Confirmed,African swine fever,,"wild, wild boar",,1,1,0,,,0,,
250449,OIE,47.4425,22.0715,Europe,Romania,Bihor,Simian,Exact,23/03/2019,05/04/2019,Confirmed,African swine fever,,"domestic, swine",32,32,1,31,,,0,,
250331,OIE,52.0683,20.9872,Europe,Poland,Mazowieckie,Jazgarzewszczyzna,Exact,05/03/2019,02/04/2019,Confirmed,African swine fever,,"domestic, wild boar",,1,1,0,,,,,
250330,OIE,51.976033,21.027767,Europe,Poland,Mazowieckie,Krupia Wolka,Exact,05/03/2019,02/04/2019,Confirmed,African swine fever,,"domestic, wild boar",,1,1,0,,,,,
250329,OIE,52.072417,20.887732,Europe,Poland,Mazowieckie,Lazy,Exact,05/03/2019,02/04/2019,Confirmed,African swine fever,,"domestic, wild boar",,1,1,0,,,,,
250328,OIE,51.8925,21.6806,Europe,Poland,Mazowieckie,Unin Kolonia,Exact,05/03/2019,02/04/2019,Confirmed,African swine fever,,"domestic, wild boar",,3,3,0,,,,,
250327,OIE,53.2589,23.3486,Europe,Poland,Podlaskie,Zacisze,Exact,05/03/2019,02/04/2019,Confirmed,African swine fever,,"domestic, wild boar",,7,7,0,,,,,
250326,OIE,52.3353,20.4144,Europe,Poland,Mazowieckie,Famulki Krolewskie,Exact,04/03/2019,02/04/2019,Confirmed,African swine fever,,"domestic, wild boar",,2,2,0,,,,,
250325,OIE,52.013329,21.136561,Europe,Poland,Mazowieckie,Baniocha,Exact,04/03/2019,02/04/2019,Confirmed,African swine fever,,"domestic, wild boar",,1,1,0,,,,,
250324,OIE,51.686338,21.228323,Europe,Poland,Mazowieckie,Strzyzyna,Exact,04/03/2019,02/04/2019,Confirmed,African swine fever,,"domestic, wild boar",,2,2,0,,,,,
250323,OIE,50.95121,23.24304,Europe,Poland,Lubeiskie,Malochwiej Duzy,Exact,04/03/2019,02/04/2019,Confirmed,African swine fever,,"domestic, wild boar",,1,1,0,,,,,
250322,OIE,51.7203,21.5417,Europe,Poland,Mazowieckie,Zakrety,Exact,04/03/2019,02/04/2019,Confirmed,African swine fever,,"domestic, wild boar",,1,1,0,,,,,
250321,OIE,51.9597,21.2903,Europe,Poland,Mazowieckie,Sulbiny,Exact,04/03/2019,02/04/2019,Confirmed,African swine fever,,"domestic, wild boar",,2,2,0,,,,,
250320,OIE,51.9597,21.2903,Europe,Poland,Mazowieckie,Kepa Radwankowska,Exact,04/03/2019,02/04/2019,Confirmed,African swine fever,,"domestic, wild boar",,1,1,0,,,,,
250319,OIE,52.1961,21.0769,Europe,Poland,Mazowieckie,Warszawa,Exact,03/03/2019,02/04/2019,Confirmed,African swine fever,,"domestic, wild boar",,1,1,0,,,,,
250318,OIE,52.035894,20.861724,Europe,Poland,Mazowieckie,Wola Mrokowska,Exact,03/03/2019,02/04/2019,Confirmed,African swine fever,,"domestic, wild boar",,9,9,0,,,,,
250317,OIE,51.0419,23.3681,Europe,Poland,Lubeiskie,Kolonia Zwierzyniec,Exact,03/03/2019,02/04/2019,Confirmed,African swine fever,,"domestic, wild boar",,2,2,0,,,,,
250316,OIE,54.2158,22.1578,Europe,Poland,Warminsko-Mazurskie,Okrasin,Exact,03/03/2019,02/04/2019,Confirmed,African swine fever,,"domestic, wild boar",,1,1,0,,,,,
250315,OIE,51.944618,20.917504,Europe,Poland,Mazowieckie,Nowe Racibory,Exact,03/03/2019,02/04/2019,Confirmed,African swine fever,,"domestic, wild boar",,1,1,0,,,,,
250314,OIE,51.926631,20.943326,Europe,Poland,Mazowieckie,Wilcza Wolka,Exact,03/03/2019,02/04/2019,Confirmed,African swine fever,,"domestic, wild boar",,1,1,0,,,,,
250313,OIE,52.052262,20.882281,Europe,Poland,Mazowieckie,Kolonia Warszawska,Exact,02/03/2019,02/04/2019,Confirmed,African swine fever,,"domestic, wild boar",,1,1,0,,,,,
250312,OIE,52.032158,20.893976,Europe,Poland,Mazowieckie,Wolka Pracka,Exact,02/03/2019,02/04/2019,Confirmed,African swine fever,,"domestic, wild boar",,1,1,0,,,,,
250311,OIE,52.2878,20.4408,Europe,Poland,Mazowieckie,Granica,Exact,02/03/2019,02/04/2019,Confirmed,African swine fever,,"domestic, wild boar",,1,1,0,,,,,
250310,OIE,52.2589,20.3764,Europe,Poland,Mazowieckie,Wola Pasikonska,Exact,01/03/2019,02/04/2019,Confirmed,African swine fever,,"domestic, wild boar",,4,4,0,,,,,
250309,OIE,51.956124,22.559039,Europe,Poland,Lubeiskie,Szaniawy-Poniaty,Exact,01/03/2019,02/04/2019,Confirmed,African swine fever,,"domestic, wild boar",,2,2,0,,,,,
250308,OIE,52.04915,20.86894,Europe,Poland,Mazowieckie,Stefanowo,Exact,01/03/2019,02/04/2019,Confirmed,African swine fever,,"domestic, wild boar",,1,1,0,,,,,
250307,OIE,54.3339,19.6569,Europe,Poland,Warminsko-Mazurskie,Narusa,Exact,01/03/2019,02/04/2019,Confirmed,African swine fever,,"domestic, wild boar",,1,1,0,,,,,
250306,OIE,52.1956,21.1528,Europe,Poland,Mazowieckie,Warszawa,Exact,28/02/2019,02/04/2019,Confirmed,African swine fever,,"domestic, wild boar",,1,1,0,,,,,
250305,OIE,52.1894,21.1356,Europe,Poland,Mazowieckie,Warszawa,Exact,28/02/2019,02/04/2019,Confirmed,African swine fever,,"domestic, wild boar",,1,1,0,,,,,
250304,OIE,52.3956,20.4786,Europe,Poland,Mazowieckie,Wilkow Polski,Exact,28/02/2019,02/04/2019,Confirmed,African swine fever,,"domestic, wild boar",,1,1,0,,,,,
250303,OIE,52.4,20.4783,Europe,Poland,Mazowieckie,Wilkow nad Wisla,Exact,28/02/2019,02/04/2019,Confirmed,African swine fever,,"domestic, wild boar",,2,2,0,,,,,
250302,OIE,52.3344,20.4089,Europe,Poland,Mazowieckie,Kfamulki Krolewskie,Exact,28/02/2019,02/04/2019,Confirmed,African swine fever,,"domestic, wild boar",,1,1,0,,,,,
250301,OIE,52.3236,20.3844,Europe,Poland,Mazowieckie,Famulki Lazowskie,Exact,28/02/2019,02/04/2019,Confirmed,African swine fever,,"domestic, wild boar",,1,1,0,,,,,
