Id,source,latitude,longitude,region,country,admin1,localityName,localityQuality,observationDate,reportingDate,status,disease,serotypes,speciesDescription,sumAtRisk,sumCases,sumDeaths,sumDestroyed,sumSlaughtered,humansGenderDesc,humansAge,humansAffected,humansDeaths
250062,OIE,49.950581,5.066939,Europe,Belgium,Region wallonne,Bièvre,Exact,12-03-19,27-03-19,Confirmed,Bluetongue,8,"domestic, cattle",171,4,,,,,,,
250061,OIE,49.933763,5.118068,Europe,Belgium,Region wallonne,Paliseul,Exact,11-03-19,27-03-19,Confirmed,Bluetongue,8,"domestic, cattle",56,1,,,,,,,
250060,OIE,49.958126,5.124224,Europe,Belgium,Region wallonne,Paliseul,Exact,07-03-19,27-03-19,Confirmed,Bluetongue,8,"domestic, cattle",447,1,,,,,,,
250059,OIE,49.964193,5.126567,Europe,Belgium,Region wallonne,Paliseul,Exact,14-02-19,27-03-19,Confirmed,Bluetongue,8,"domestic, cattle",111,2,,,,,,,
249299,OIE,48.37,8.44,Europe,Germany,Baden-Wuerttemberg,Loßburg,Exact,12-03-19,19-03-19,Confirmed,Bluetongue,8,"domestic, cattle",227,1,,,,,,,
249298,OIE,49.15,7.2,Europe,Germany,Saarland,Blieskastel,Exact,08-03-19,19-03-19,Confirmed,Bluetongue,8,"domestic, cattle",177,1,,,,,,,
249297,OIE,49.36,7.06,Europe,Germany,Saarland,Merchweiler,Exact,01-03-19,19-03-19,Confirmed,Bluetongue,8,"domestic, cattle",148,1,,,,,,,
249296,OIE,48.05,7.92,Europe,Germany,Baden-Wuerttemberg,Glottertal,Exact,27-02-19,19-03-19,Confirmed,Bluetongue,8,"domestic, cattle",64,1,,,,,,,
249295,OIE,47.83,8.11,Europe,Germany,Baden-Wuerttemberg,Schluchsee,Exact,26-02-19,19-03-19,Confirmed,Bluetongue,8,"domestic, cattle",33,1,,,,,,,
248871,OIE,30.48,30.17,Africa,Egypt,Behera,Wadi Elnatron,Exact,30-08-18,10-03-19,Confirmed,Bluetongue,4,"domestic, cattle",484,70,35,,,,,,
